Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
ak,10636054,2,55.6507,-134.9843,2.3,20,5,Southeastern Alaska
ak,10636053,2,61.5673,-150.9148,1.5,81.2,8,Southern Alaska
mb,13614565,2,45.614,-111.7381,2.2,9.6,36,western Montana
ak,10636052,2,55.493,-134.7124,2.4,20,6,Southeastern Alaska
ak,10632316,2,60.1524,-138.8198,1.8,4,10,"Southern Yukon Territory, Canada"
ci,15270889,2,33.7667,-115.9342,1.2,1.1,40,Southern California
ak,10632315,2,62.8103,-148.3987,1.2,67.3,10,Central Alaska
ak,10632313,2,61.3596,-150.3952,1.8,45.7,13,Southern Alaska
ci,15270873,2,33.3862,-116.411,1,11,57,Southern California
uu,60000620,2,44.4745,-110.5527,2.1,4.4,11,"Yellowstone National Park, Wyoming"
uu,60009717,4,44.4798,-110.5542,1.8,2,14,"Yellowstone National Park, Wyoming"
ak,10636048,2,56.0348,-135.251,2.5,20,5,Southeastern Alaska
ci,15270865,2,33.3225,-116.1957,1,6.8,31,Southern California
ak,10636047,2,55.6779,-134.8826,3,20,6,Southeastern Alaska
hv,60447686,1,18.9835,-155.4438,2.6,37.2,48,"Hawaii region, Hawaii"
uu,60009697,2,44.437,-110.3275,1.3,5.9,10,"Yellowstone National Park, Wyoming"
ak,10636046,2,59.739,-152.7081,2.3,159.1,8,Southern Alaska
uu,60009687,4,44.43,-110.3322,2,8.8,20,"Yellowstone National Park, Wyoming"
ak,10636045,2,62.735,-150.5637,1.4,83.1,6,Central Alaska
hv,60447681,1,19.3467,-155.1243,1.8,8.1,15,"Island of Hawaii, Hawaii"
uu,60009677,2,44.442,-110.3522,1,3.2,9,"Yellowstone National Park, Wyoming"
uu,60009672,2,44.437,-110.326,1.3,11.1,12,"Yellowstone National Park, Wyoming"
uu,60009667,2,44.434,-110.3243,1.1,11.2,9,"Yellowstone National Park, Wyoming"
uu,60009662,2,44.4358,-110.3278,1.2,11.5,10,"Yellowstone National Park, Wyoming"
uu,60009657,2,44.4293,-110.3168,1,12.5,8,"Yellowstone National Park, Wyoming"
